"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000262643 (pp) 9606.ENSP00000378699","false","pp","9606.ENSP00000262643 (pp) 9606.ENSP00000378699","0.194",,,"0.813",,,"0.972","0.835"
"pp","9606.ENSP00000262643 (pp) 9606.ENSP00000429089","false","pp","9606.ENSP00000262643 (pp) 9606.ENSP00000429089","0.148","0.076","0.9",,,,"0.956","0.518"
"pp","9606.ENSP00000262887 (pp) 9606.ENSP00000375978","false","pp","9606.ENSP00000262887 (pp) 9606.ENSP00000375978","0.067",,"0.36",,,,"0.92","0.877"
"pp","9606.ENSP00000262887 (pp) 9606.ENSP00000325863","false","pp","9606.ENSP00000262887 (pp) 9606.ENSP00000325863","0.075",,"0.5","0.292",,,"0.902","0.737"
"pp","9606.ENSP00000262887 (pp) 9606.ENSP00000355759","false","pp","9606.ENSP00000262887 (pp) 9606.ENSP00000355759","0.095",,,"0.867",,,"0.999","0.996"
"pp","9606.ENSP00000262887 (pp) 9606.ENSP00000371475","false","pp","9606.ENSP00000262887 (pp) 9606.ENSP00000371475","0.067",,"0.36","0.439",,,"0.907","0.756"
"pp","9606.ENSP00000263026 (pp) 9606.ENSP00000408695","false","pp","9606.ENSP00000263026 (pp) 9606.ENSP00000408695","0.055",,"0.9",,,,"0.928","0.299"
"pp","9606.ENSP00000263026 (pp) 9606.ENSP00000307940","false","pp","9606.ENSP00000263026 (pp) 9606.ENSP00000307940","0.12",,"0.9","0.292",,,"0.999","0.986"
"pp","9606.ENSP00000263026 (pp) 9606.ENSP00000496129","false","pp","9606.ENSP00000263026 (pp) 9606.ENSP00000496129","0.055",,"0.9",,,,"0.914","0.169"
"pp","9606.ENSP00000263026 (pp) 9606.ENSP00000346148","false","pp","9606.ENSP00000263026 (pp) 9606.ENSP00000346148",,,"0.9",,,,"0.914","0.179"
"pp","9606.ENSP00000263377 (pp) 9606.ENSP00000339527","false","pp","9606.ENSP00000263377 (pp) 9606.ENSP00000339527","0.2",,,"0.9",,,"0.96","0.551"
"pp","9606.ENSP00000263377 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000263377 (pp) 9606.ENSP00000269305","0.049",,,"0.735",,,"0.99","0.967"
"pp","9606.ENSP00000263377 (pp) 9606.ENSP00000363822","false","pp","9606.ENSP00000263377 (pp) 9606.ENSP00000363822",,,,"0.586",,,"0.969","0.929"
"pp","9606.ENSP00000263377 (pp) 9606.ENSP00000478887","false","pp","9606.ENSP00000263377 (pp) 9606.ENSP00000478887","0.048",,,"0.689",,,"0.941","0.817"
"pp","9606.ENSP00000263923 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000263923 (pp) 9606.ENSP00000495360","0.095",,"0.8",,,,"0.996","0.981"
"pp","9606.ENSP00000263923 (pp) 9606.ENSP00000362680","false","pp","9606.ENSP00000263923 (pp) 9606.ENSP00000362680","0.059",,"0.9","0.796",,,"0.998","0.938"
"pp","9606.ENSP00000263923 (pp) 9606.ENSP00000401303","false","pp","9606.ENSP00000263923 (pp) 9606.ENSP00000401303","0.058",,"0.9","0.672",,,"0.995","0.861"
"pp","9606.ENSP00000263923 (pp) 9606.ENSP00000263967","false","pp","9606.ENSP00000263923 (pp) 9606.ENSP00000263967",,,"0.9","0.098",,,"0.975","0.754"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000331602","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000331602","0.063",,"0.9",,,,"0.918","0.205"
"pp","9606.ENSP00000263923 (pp) 9606.ENSP00000457421","false","pp","9606.ENSP00000263923 (pp) 9606.ENSP00000457421","0.128",,"0.8","0.045",,,"0.999","0.999"
"pp","9606.ENSP00000263923 (pp) 9606.ENSP00000339191","false","pp","9606.ENSP00000263923 (pp) 9606.ENSP00000339191","0.072",,,"0.301",,,"0.962","0.947"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000401888","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000401888","0.067",,"0.9","0.069",,,"0.972","0.719"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000267101","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000267101",,,"0.9","0.597",,,"0.993","0.856"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000320485","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000320485","0.067",,,,,,"0.913","0.911"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000362680","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000362680","0.05",,"0.9","0.069",,,"0.984","0.847"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000354952","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000354952","0.05",,"0.9",,,,"0.927","0.301"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000405330","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000405330",,,"0.4","0.51",,,"0.941","0.817"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000317272","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000317272","0.042",,"0.9","0.069",,,"0.961","0.618"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000364898","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000364898",,,"0.9","0.069",,,"0.935","0.365"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000325120","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000325120","0.06",,"0.9",,,,"0.961","0.627"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000269305",,,,"0.292",,,"0.941","0.92"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000361009","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000361009","0.074",,"0.9",,,,"0.925","0.263"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000296585","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000296585",,,"0.9",,,,"0.913","0.167"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000361021","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000361021","0.113",,"0.9","0.134",,,"0.995","0.949"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000275493","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000275493",,,"0.9","0.79",,,"0.999","0.977"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000358548","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000358548","0.125",,"0.9","0.483",,,"0.995","0.921"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000304895","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000304895","0.07",,"0.9","0.849",,,"0.999","0.952"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000354558","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000354558","0.06",,"0.9","0.166",,,"0.963","0.592"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000288135","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000288135","0.106",,"0.9","0.326",,,"0.986","0.81"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000419060","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000419060","0.128",,,"0.19",,,"0.947","0.931"
"pp","9606.ENSP00000264012 (pp) 9606.ENSP00000304669","false","pp","9606.ENSP00000264012 (pp) 9606.ENSP00000304669",,,"0.54","0.547",,,"0.93","0.692"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000495360","0.049",,,"0.13",,,"0.901","0.89"
"pp","9606.ENSP00000264012 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000264012 (pp) 9606.ENSP00000495360","0.063",,"0.54","0.828",,,"0.995","0.947"
"pp","9606.ENSP00000264335 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000264335 (pp) 9606.ENSP00000269305","0.246",,"0.5","0.453",,,"0.9","0.574"
"pp","9606.ENSP00000264335 (pp) 9606.ENSP00000379287","false","pp","9606.ENSP00000264335 (pp) 9606.ENSP00000379287","0.269","0.052","0.5","0.877",,,"0.998","0.968"
"pp","9606.ENSP00000264335 (pp) 9606.ENSP00000478927","false","pp","9606.ENSP00000264335 (pp) 9606.ENSP00000478927","0.059",,"0.9","0.735",,,"0.977","0.206"
"pp","9606.ENSP00000264335 (pp) 9606.ENSP00000401888","false","pp","9606.ENSP00000264335 (pp) 9606.ENSP00000401888","0.075",,"0.9","0.891",,,"0.991","0.214"
"pp","9606.ENSP00000264335 (pp) 9606.ENSP00000304669","false","pp","9606.ENSP00000264335 (pp) 9606.ENSP00000304669","0.049",,"0.9",,,,"0.912","0.152"
"pp","9606.ENSP00000264335 (pp) 9606.ENSP00000419465","false","pp","9606.ENSP00000264335 (pp) 9606.ENSP00000419465","0.06",,"0.9","0.83",,,"0.985","0.197"
"pp","9606.ENSP00000264335 (pp) 9606.ENSP00000339527","false","pp","9606.ENSP00000264335 (pp) 9606.ENSP00000339527","0.042",,"0.9","0.583",,,"0.978","0.536"
"pp","9606.ENSP00000264335 (pp) 9606.ENSP00000378040","false","pp","9606.ENSP00000264335 (pp) 9606.ENSP00000378040",,,"0.9","0.791",,,"0.98","0.156"
"pp","9606.ENSP00000264335 (pp) 9606.ENSP00000419060","false","pp","9606.ENSP00000264335 (pp) 9606.ENSP00000419060","0.067",,"0.9","0.896",,,"0.994","0.53"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000477713","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000477713","0.057",,"0.5","0.629",,,"0.959","0.798"
"pp","9606.ENSP00000264335 (pp) 9606.ENSP00000290277","false","pp","9606.ENSP00000264335 (pp) 9606.ENSP00000290277","0.073",,"0.9","0.673",,,"0.968","0.089"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000354558","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000354558","0.049",,,"0.735",,,"0.926","0.731"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000275493","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000275493","0.042",,,"0.925",,,"0.998","0.986"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000410452","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000410452","0.057",,,"0.295",,,"0.954","0.937"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000288135","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000288135","0.055",,"0.9","0.079",,,"0.96","0.603"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000339527","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000339527","0.082",,"0.9",,,,"0.978","0.787"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000378974","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000378974","0.044",,,"0.625",,,"0.9","0.746"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000363822","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000363822","0.048",,,"0.627",,,"0.907","0.761"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000267101","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000267101","0.044",,,"0.071",,,"0.905","0.902"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000365230","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000365230","0.055",,"0.75","0.095",,,"0.949","0.79"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000384849","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000384849","0.125",,"0.5","0.828",,,"0.984","0.815"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000364898","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000364898","0.069",,"0.5","0.796",,,"0.98","0.816"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000405330","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000405330","0.042",,,"0.476",,,"0.93","0.873"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000317272","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000317272","0.063",,"0.5","0.333",,,"0.981","0.948"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000381185","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000381185",,,"0.75","0.056",,,"0.959","0.84"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000478887","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000478887","0.067",,"0.75","0.612",,,"0.985","0.86"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000346839","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000346839",,,"0.5","0.9",,,"0.988","0.796"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000341208","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000341208","0.181",,"0.9",,,,"0.997","0.974"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000332973","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000332973","0.062",,,"0.292",,,"0.909","0.875"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000362680","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000362680","0.092",,"0.9","0.842",,,"0.999","0.996"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000269305","0.064",,"0.8","0.164",,,"0.994","0.97"
"pp","9606.ENSP00000264657 (pp) 9606.ENSP00000360266","false","pp","9606.ENSP00000264657 (pp) 9606.ENSP00000360266","0.062",,,"0.329",,,"0.995","0.994"
"pp","9606.ENSP00000267101 (pp) 9606.ENSP00000317272","false","pp","9606.ENSP00000267101 (pp) 9606.ENSP00000317272","0.109",,"0.9","0.536",,,"0.987","0.736"
"pp","9606.ENSP00000267101 (pp) 9606.ENSP00000401303","false","pp","9606.ENSP00000267101 (pp) 9606.ENSP00000401303",,,"0.9","0.907",,,"0.999","0.976"
"pp","9606.ENSP00000267101 (pp) 9606.ENSP00000275493","false","pp","9606.ENSP00000267101 (pp) 9606.ENSP00000275493","0.042","0.061","0.8","0.986",,,"0.999","0.984"
"pp","9606.ENSP00000267101 (pp) 9606.ENSP00000362680","false","pp","9606.ENSP00000267101 (pp) 9606.ENSP00000362680","0.044",,"0.9","0.389",,,"0.968","0.525"
"pp","9606.ENSP00000267101 (pp) 9606.ENSP00000287842","false","pp","9606.ENSP00000267101 (pp) 9606.ENSP00000287842",,,"0.9","0.993",,,"0.999","0.999"
"pp","9606.ENSP00000267163 (pp) 9606.ENSP00000371475","false","pp","9606.ENSP00000267163 (pp) 9606.ENSP00000371475","0.119",,,"0.9",,,"0.928","0.256"
"pp","9606.ENSP00000267163 (pp) 9606.ENSP00000429089","false","pp","9606.ENSP00000267163 (pp) 9606.ENSP00000429089","0.196",,"0.9","0.142",,,"0.957","0.461"
"pp","9606.ENSP00000267163 (pp) 9606.ENSP00000378699","false","pp","9606.ENSP00000267163 (pp) 9606.ENSP00000378699","0.09",,"0.9","0.853",,,"0.995","0.731"
"pp","9606.ENSP00000267257 (pp) 9606.ENSP00000362680","false","pp","9606.ENSP00000267257 (pp) 9606.ENSP00000362680","0.07",,"0.9","0.524",,,"0.999","0.998"
"pp","9606.ENSP00000267163 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000267163 (pp) 9606.ENSP00000269305","0.064",,,"0.51",,,"0.936","0.873"
"pp","9606.ENSP00000267257 (pp) 9606.ENSP00000346839","false","pp","9606.ENSP00000267257 (pp) 9606.ENSP00000346839",,,,"0.201",,,"0.981","0.978"
"pp","9606.ENSP00000269141 (pp) 9606.ENSP00000304669","false","pp","9606.ENSP00000269141 (pp) 9606.ENSP00000304669",,,"0.72","0.836",,,"0.99","0.801"
"pp","9606.ENSP00000267257 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000267257 (pp) 9606.ENSP00000495360","0.058",,,"0.359",,,"0.985","0.978"
"pp","9606.ENSP00000269141 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000269141 (pp) 9606.ENSP00000495360","0.061",,"0.72","0.943",,,"0.999","0.999"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000360266","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000360266",,,"0.5","0.324",,,"0.997","0.992"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000374455","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000374455",,,,"0.776",,,"0.901","0.579"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000361626","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000361626",,,,"0.743",,,"0.922","0.711"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000325863","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000325863",,,"0.5","0.621",,,"0.905","0.541"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000369497","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000369497","0.066",,,"0.828",,,"0.995","0.975"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000351273","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000351273","0.087",,"0.9","0.292",,,"0.991","0.88"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000368458","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000368458","0.067",,"0.5","0.777",,,"0.913","0.265"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000332973","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000332973","0.094",,,"0.469",,,"0.963","0.929"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000379287","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000379287","0.042",,"0.5","0.695",,,"0.991","0.947"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000377192","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000377192","0.049",,"0.9",,,,"0.986","0.868"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000278616","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000278616","0.103",,"0.9","0.929",,,"0.999","0.975"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000355231","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000355231",,,,"0.292",,,"0.939","0.918"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000391090","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000391090","0.074",,"0.9","0.783",,,"0.997","0.906"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000355759","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000355759","0.067",,,"0.794",,,"0.972","0.87"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000365230","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000365230","0.075",,,"0.987",,,"0.999","0.998"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000376436","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000376436","0.107",,,"0.625",,,"0.972","0.925"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000478887","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000478887","0.067",,,"0.3",,,"0.997","0.997"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000372023","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000372023","0.072",,"0.75","0.833",,,"0.999","0.992"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000381185","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000381185","0.103",,"0.9","0.87",,,"0.999","0.999"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000384849","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000384849",,,"0.9","0.926",,,"0.999","0.961"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000363822","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000363822",,,,"0.439",,,"0.905","0.839"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000405330","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000405330",,,,"0.735",,,"0.992","0.974"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000293288","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000293288","0.081",,"0.9","0.782",,,"0.994","0.775"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000350512","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000350512",,,,"0.82",,,"0.977","0.878"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000320485","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000320485","0.067",,,"0.292",,,"0.961","0.946"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000324856","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000324856","0.071",,"0.5","0.621",,,"0.97","0.853"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000378974","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000378974","0.086",,"0.9","0.845",,,"0.997","0.861"
"pp","9606.ENSP00000378974 (pp) 9606.ENSP00000394560","false","pp","9606.ENSP00000378974 (pp) 9606.ENSP00000394560","0.082","0.05","0.9","0.994",,,"0.999","0.55"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000495360","0.049",,,,,,"0.927","0.927"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000371475","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000371475",,,,"0.993",,,"0.999","0.997"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000361021","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000361021","0.067",,"0.9","0.749",,,"0.999","0.969"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000363591","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000363591","0.054",,"0.9","0.791",,,"0.997","0.867"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000339527","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000339527",,,,"0.776",,,"0.998","0.992"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000394560","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000394560","0.08",,"0.9","0.641",,,"0.982","0.528"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000378699","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000378699","0.095",,,"0.627",,,"0.962","0.899"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000275493","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000275493",,,,"0.329",,,"0.943","0.919"
"pp","9606.ENSP00000269305 (pp) 9606.ENSP00000493712","false","pp","9606.ENSP00000269305 (pp) 9606.ENSP00000493712","0.136",,,"0.885",,,"0.999","0.995"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000287842","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000287842","0.074",,"0.9","0.79",,,"0.999","0.997"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000304895","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000304895","0.097",,"0.65","0.24",,,"0.939","0.776"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000358548","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000358548","0.054",,"0.9","0.249",,,"0.991","0.9"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000361021","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000361021",,,,"0.608",,,"0.969","0.926"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000366702","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000366702","0.182",,,"0.988",,,"0.996","0.669"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000408695","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000408695","0.049",,,"0.788",,,"0.932","0.693"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000495360","0.064",,"0.9","0.718",,,"0.998","0.94"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000405330","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000405330",,,,"0.583",,,"0.988","0.974"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000317272","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000317272","0.251",,,"0.807",,,"0.996","0.979"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000401303","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000401303","0.067",,"0.9","0.996",,,"0.999","0.994"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000354952","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000354952",,,"0.9","0.625",,,"0.984","0.621"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000339191","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000339191","0.206",,"0.8","0.882",,,"0.999","0.987"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000341208","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000341208",,,"0.9","0.836",,,"0.998","0.933"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000379287","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000379287","0.049",,,"0.825",,,"0.925","0.588"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000380070","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000380070","0.061",,,"0.779",,,"0.955","0.803"
"pp","9606.ENSP00000275493 (pp) 9606.ENSP00000346839","false","pp","9606.ENSP00000275493 (pp) 9606.ENSP00000346839","0.138",,,"0.292",,,"0.944","0.916"
